iter	Passed	Remaining
412	3623	5150
413	3631	5140
414	3639	5130
415	3648	5121
416	3657	5113
417	3665	5103
418	3674	5094
419	3682	5084
420	3690	5075
421	3698	5065
422	3706	5056
423	3714	5046
424	3722	5036
425	3731	5027
426	3740	5018
427	3748	5009
428	3756	4999
429	3764	4990
430	3773	4981
431	3782	4972
432	3790	4963
433	3798	4954
434	3809	4948
435	3818	4938
436	3826	4930
437	3834	4920
438	3843	4911
439	3851	4901
440	3859	4892
441	3868	4883
442	3876	4874
443	3884	4864
444	3892	4855
445	3900	4845
446	3908	4835
447	3917	4826
448	3926	4818
449	3934	4808
450	3942	4798
451	3950	4790
452	3959	4780
453	3967	4771
454	3975	4762
455	3984	4753
456	3992	4744
457	4001	4735
458	4021	4739
459	4030	4731
460	4039	4723
461	4050	4716
462	4058	4707
463	4066	4697
464	4075	4688
465	4083	4679
466	4091	4670
467	4100	4661
468	4109	4652
469	4117	4643
470	4125	4633
471	4134	4624
472	4142	4615
473	4151	4606
474	4159	4597
475	4167	4587
476	4175	4578
477	4183	4569
478	4192	4559
479	4200	4550
480	4209	4541
481	4217	4532
482	4226	4523
483	4233	4513
484	4241	4503
485	4249	4494
486	4258	4485
487	4267	4476
488	4274	4467
489	4284	4458
490	4292	4449
491	4301	4441
492	4310	4432
493	4318	4423
494	4326	4413
495	4335	4405
496	4344	4396
497	4352	4387
498	4361	4378
499	4369	4369
500	4378	4360
501	4387	4352
502	4396	4343
503	4404	4334
504	4412	4325
505	4420	4315
506	4429	4306
507	4437	4297
508	4445	4288
509	4453	4279
510	4462	4269
511	4470	4260
512	4478	4251
513	4486	4242
514	4495	4233
515	4504	4224
516	4512	4216
517	4521	4207
518	4530	4198
519	4538	4188
520	4546	4179
521	4555	4171
522	4564	4162
523	4572	4153
524	4580	4144
525	4588	4135
526	4597	4126
527	4606	4117
528	4614	4108
529	4622	4099
530	4631	4090
531	4640	4082
532	4649	4073
533	4657	4064
534	4666	4055
535	4677	4048
536	4685	4039
537	4693	4030
538	4702	4021
539	4713	4015
540	4722	4006
541	4731	3997
542	4738	3988
543	4746	3979
544	4755	3970
545	4767	3964
546	4776	3955
547	4784	3946
548	4793	3937
549	4802	3929
550	4810	3919
551	4818	3910
552	4827	3901
553	4835	3892
554	4844	3883
555	4853	3875
556	4861	3866
557	4869	3857
558	4877	3847
559	4885	3838
560	4894	3830
561	4903	3821
562	4911	3812
563	4920	3803
564	4928	3794
565	4936	3785
566	4944	3776
567	4954	3767
568	4963	3759
569	4971	3750
570	4979	3741
571	4993	3736
572	5007	3731
573	5015	3722
574	5023	3713
575	5033	3705
576	5041	3696
577	5050	3687
578	5058	3678
579	5066	3668
580	5077	3662
581	5092	3657
582	5106	3652
583	5119	3647
584	5134	3642
585	5148	3637
586	5162	3631
587	5186	3634
588	5214	3638
589	5240	3641
590	5264	3643
591	5292	3647
592	5320	3651
593	5347	3654
594	5377	3660
595	5400	3660
596	5444	3675
597	5477	3682
598	5509	3688
599	5551	3701
600	5579	3704
601	5598	3701
602	5623	3702
603	5650	3704
604	5685	3711
605	5728	3724
606	5759	3728
607	5783	3728
608	5791	3718
609	5800	3708
610	5808	3698
611	5816	3687
612	5825	3677
613	5834	3667
614	5842	3657
615	5850	3647
616	5859	3637
617	5867	3626
618	5876	3616
619	5884	3606
620	5892	3596
621	5901	3586
622	5910	3576
623	5919	3566
624	5927	3556
625	5939	3548
626	5957	3544
627	5966	3534
628	5975	3524
629	5984	3514
630	5992	3504
631	6000	3493
632	6009	3484
633	6022	3476
634	6030	3466
635	6039	3456
636	6047	3446
637	6056	3436
638	6064	3426
639	6072	3415
640	6087	3409
641	6100	3402
642	6109	3392
643	6117	3381
644	6125	3371
645	6133	3361
646	6141	3350
647	6149	3340
648	6158	3330
649	6167	3320
650	6175	3310
651	6184	3300
652	6193	3291
653	6201	3280
654	6210	3271
655	6218	3261
656	6227	3251
657	6235	3240
658	6244	3230
659	6251	3220
660	6260	3210
661	6268	3200
662	6277	3190
663	6285	3180
664	6294	3170
665	6302	3160
666	6311	3150
667	6319	3140
668	6327	3130
669	6334	3120
670	6343	3110
671	6351	3100
672	6360	3090
673	6369	3080
674	6377	3070
675	6386	3060
676	6394	3050
677	6402	3040
678	6410	3030
679	6419	3021
680	6428	3011
681	6437	3001
682	6445	2991
683	6455	2982
684	6463	2972
685	6472	2962
686	6480	2952
687	6488	2942
688	6497	2932
689	6506	2923
690	6516	2913
691	6526	2904
692	6535	2895
693	6544	2885
694	6553	2876
695	6563	2866
696	6572	2857
697	6581	2847
698	6590	2837
699	6599	2828
700	6608	2818
701	6618	2809
702	6627	2800
703	6637	2790
704	6645	2780
705	6654	2771
706	6664	2761
707	6674	2752
708	6683	2743
709	6691	2733
710	6699	2723
711	6707	2713
712	6716	2703
713	6724	2693
714	6733	2683
715	6741	2674
716	6750	2664
717	6759	2654
718	6767	2644
719	6776	2635
720	6784	2625
721	6793	2615
722	6802	2606
723	6813	2597
724	6823	2588
725	6832	2578
726	6840	2568
727	6849	2559
728	6857	2549
729	6866	2539
730	6874	2529
731	6883	2520
732	6891	2510
733	6901	2501
734	6910	2491
735	6923	2483
736	6936	2475
737	6944	2465
738	6953	2455
739	6961	2445
740	6969	2436
741	6978	2426
742	6986	2416
743	6995	2406
744	7003	2397
745	7011	2387
746	7019	2377
747	7028	2367
748	7036	2358
749	7045	2348
750	7053	2338
751	7061	2328
752	7069	2318
753	7077	2309
754	7085	2299
755	7093	2289
756	7101	2279
757	7110	2270
758	7119	2260
759	7128	2251
760	7136	2241
761	7145	2231
762	7153	2222
763	7162	2212
764	7170	2202
765	7179	2193
766	7188	2183
767	7196	2174
768	7205	2164
769	7214	2154
770	7222	2145
771	7231	2135
772	7239	2126
773	7248	2116
774	7257	2106
775	7265	2097
776	7275	2088
777	7284	2078
778	7292	2068
779	7301	2059
780	7309	2049
781	7319	2040
782	7327	2030
783	7336	2021
784	7344	2011
785	7353	2002
786	7362	1992
787	7370	1982
788	7378	1973
789	7388	1963
790	7396	1954
791	7404	1944
792	7413	1935
793	7422	1925
794	7431	1916
795	7439	1906
796	7448	1897
797	7457	1887
798	7465	1877
799	7473	1868
800	7482	1858
801	7491	1849
802	7499	1839
803	7507	1830
804	7515	1820
805	7524	1811
806	7534	1801
807	7543	1792
808	7551	1782
809	7560	1773
810	7568	1763
811	7577	1754
812	7585	1744
813	7593	1735
814	7601	1725
815	7609	1715
816	7618	1706
817	7627	1697
818	7636	1687
819	7644	1678
820	7652	1668
821	7660	1658
822	7669	1649
823	7677	1639
824	7686	1630
825	7694	1620
826	7702	1611
827	7711	1601
828	7719	1592
829	7727	1582
830	7735	1573
831	7744	1563
832	7752	1554
833	7760	1544
834	7769	1535
835	7777	1525
836	7787	1516
837	7796	1507
838	7804	1497
839	7813	1488
840	7823	1479
841	7833	1469
842	7842	1460
843	7851	1451
844	7861	1442
845	7871	1432
846	7879	1423
847	7889	1414
848	7904	1405
849	7917	1397
850	7926	1387
851	7934	1378
852	7943	1368
853	7951	1359
854	7960	1350
855	7969	1340
856	7977	1331
857	7985	1321
858	7994	1312
859	8002	1302
860	8010	1293
861	8019	1283
862	8027	1274
863	8036	1264
864	8044	1255
865	8052	1245
866	8061	1236
867	8069	1227
868	8077	1217
869	8085	1208
870	8094	1198
871	8102	1189
872	8111	1180
873	8119	1170
874	8127	1161
875	8136	1151
876	8144	1142
877	8153	1132
878	8162	1123
879	8170	1114
880	8178	1104
881	8186	1095
882	8195	1085
883	8204	1076
884	8212	1067
885	8221	1057
886	8230	1048
887	8239	1039
888	8248	1029
889	8256	1020
890	8264	1011
891	8273	1001
892	8281	992
893	8290	982
894	8299	973
895	8307	964
896	8316	954
897	8324	945
898	8333	936
899	8342	926
900	8351	917
901	8359	908
902	8368	898
903	8378	889
904	8387	880
905	8395	871
906	8405	861
907	8414	852
908	8423	843
909	8432	833
910	8440	824
911	8448	815
912	8457	805
913	8466	796
914	8474	787
915	8483	777
916	8492	768
917	8501	759
918	8509	750
919	8518	740
920	8526	731
921	8534	722
922	8543	712
923	8552	703
924	8560	694
925	8569	684
926	8577	675
927	8586	666
928	8594	656
929	8602	647
930	8611	638
931	8619	628
932	8627	619
933	8636	610
934	8645	600
935	8653	591
936	8662	582
937	8671	573
938	8679	563
939	8688	554
940	8697	545
941	8706	536
942	8715	526
943	8724	517
944	8732	508
945	8740	498
946	8749	489
947	8759	480
948	8767	471
949	8776	461
950	8784	452
951	8792	443
952	8801	434
953	8809	424
954	8818	415
955	8827	406
956	8836	397
957	8845	387
958	8854	378
959	8863	369
960	8871	360
961	8890	351
962	8898	341
963	8907	332
964	8916	323
965	8924	314
966	8933	304
967	8941	295
968	8950	286
969	8959	277
970	8967	267
971	8976	258
972	8983	249
973	8992	240
974	9001	230
975	9010	221
976	9018	212
977	9027	203
978	9036	193
979	9045	184
980	9053	175
981	9062	166
982	9071	156
983	9079	147
984	9088	138
985	9097	129
986	9106	119
987	9114	110
988	9123	101
989	9131	92
990	9139	83
991	9147	73
992	9156	64
993	9165	55
994	9173	46
995	9182	36
996	9191	27
997	9199	18
998	9207	9
999	9215	0
